,_id,name,category_code,number_of_employees,founded_year,city,location,latitude,longitude,total_money_raised ($k)
0,"{""$oid"": ""52cdef7c4bab8bd675297d8b""}",AdventNet,enterprise,600.0,1996.0,Pleasanton,"{'type': 'Point', 'coordinates': [-121.904945, 37.692934]}",37.692934,-121.904945,0.0
1,"{""$oid"": ""52cdef7c4bab8bd675297d92""}",Flektor,games_video,,,Culver City,"{'type': 'Point', 'coordinates': [-118.379768, 34.025958]}",34.025958,-118.379768,0.0
2,"{""$oid"": ""52cdef7c4bab8bd675297d8c""}",Zoho,software,1600.0,2005.0,Pleasanton,"{'type': 'Point', 'coordinates': [-121.904945, 37.692934]}",37.692934,-121.904945,0.0
3,"{""$oid"": ""52cdef7c4bab8bd675297d8a""}",Wetpaint,web,47.0,2005.0,Seattle,"{'type': 'Point', 'coordinates': [-122.333253, 47.603122]}",47.603122,-122.333253,39800.0
3,"{""$oid"": ""52cdef7c4bab8bd675297d8a""}",Wetpaint,web,47.0,2005.0,New York,"{'type': 'Point', 'coordinates': [-73.9964312, 40.7237306]}",40.7237306,-73.9964312,39800.0
4,"{""$oid"": ""52cdef7c4bab8bd675297d93""}",Fox Interactive Media,web,0.0,1979.0,Beverly Hills,"{'type': 'Point', 'coordinates': [-118.39417, 34.076179]}",34.076179,-118.39417,0.0
5,"{""$oid"": ""52cdef7c4bab8bd675297d96""}",Gizmoz,web,,2003.0,Menlo Park,"{'type': 'Point', 'coordinates': [-122.169472, 37.48413]}",37.48413,-122.169472,18100.0
6,"{""$oid"": ""52cdef7c4bab8bd675297d8d""}",Digg,news,60.0,2004.0,San Francisco,"{'type': 'Point', 'coordinates': [-122.394523, 37.764726]}",37.764726,-122.394523,45000.0
7,"{""$oid"": ""52cdef7c4bab8bd675297d98""}",Slacker,music,,2006.0,San Diego,"{'type': 'Point', 'coordinates': [-117.081406, 33.022176]}",33.022176,-117.081406,73100.0
8,"{""$oid"": ""52cdef7c4bab8bd675297d97""}",Scribd,news,50.0,2007.0,San Francisco,"{'type': 'Point', 'coordinates': [-122.404052, 37.789634]}",37.789634,-122.404052,25800.0
9,"{""$oid"": ""52cdef7c4bab8bd675297d90""}",Postini,web,,1999.0,San Carlos,"{'type': 'Point', 'coordinates': [-122.247573, 37.506885]}",37.506885,-122.247573,0.0
10,"{""$oid"": ""52cdef7c4bab8bd675297d9a""}",Helio,mobile,,2005.0,Los Angeles,"{'type': 'Point', 'coordinates': [-118.446596, 34.057498]}",34.057498,-118.446596,0.0
11,"{""$oid"": ""52cdef7c4bab8bd675297d99""}",Lala,games_video,,,Palo Alto,"{'type': 'Point', 'coordinates': [-122.154369, 37.451151]}",37.451151,-122.154369,44200.0
12,"{""$oid"": ""52cdef7c4bab8bd675297d8f""}",Omnidrive,network_hosting,,2005.0,Palo Alto,,Invalid lat long,Invalid lat long,800.0
13,"{""$oid"": ""52cdef7c4bab8bd675297d9c""}",MeetMoi,social,15.0,2007.0,New York City,"{'type': 'Point', 'coordinates': [-73.985506, 40.757929]}",40.757929,-73.985506,5580.0
14,"{""$oid"": ""52cdef7c4bab8bd675297d95""}",StumbleUpon,web,,2002.0,San Francisco,"{'type': 'Point', 'coordinates': [-122.419204, 37.775196]}",37.775196,-122.419204,18500.0
14,"{""$oid"": ""52cdef7c4bab8bd675297d95""}",StumbleUpon,web,,2002.0,New York City,,Invalid lat long,Invalid lat long,18500.0
15,"{""$oid"": ""52cdef7c4bab8bd675297da0""}",Babelgum,games_video,,2007.0,London,"{'type': 'Point', 'coordinates': [-6.267494, 53.344104]}",53.344104,-6.267494,13200.0
16,"{""$oid"": ""52cdef7c4bab8bd675297d9f""}",Viacom,web,,1971.0,New York,"{'type': 'Point', 'coordinates': [-73.986011, 40.757725]}",40.757725,-73.986011,0.0
17,"{""$oid"": ""52cdef7c4bab8bd675297da1""}",Plaxo,web,50.0,2002.0,Sunnyvale,"{'type': 'Point', 'coordinates': [-122.055197, 37.387845]}",37.387845,-122.055197,28300.0
18,"{""$oid"": ""52cdef7c4bab8bd675297d9d""}",Joost,games_video,0.0,2006.0,New York,"{'type': 'Point', 'coordinates': [-74.0094471, 40.7464969]}",40.7464969,-74.0094471,45000.0
19,"{""$oid"": ""52cdef7c4bab8bd675297d9e""}",CBS,news,,1986.0,NoCity,"{'type': 'Point', 'coordinates': [-119.306607, 37.269175]}",37.269175,-119.306607,0.0
20,"{""$oid"": ""52cdef7c4bab8bd675297d91""}",Geni,web,18.0,2006.0,West Hollywood,"{'type': 'Point', 'coordinates': [-118.393064, 34.090368]}",34.090368,-118.393064,16500.0
21,"{""$oid"": ""52cdef7c4bab8bd675297d8e""}",Facebook,social,5299.0,2004.0,Menlo Park,"{'type': 'Point', 'coordinates': [-122.151801, 37.41605]}",37.41605,-122.151801,2430000.0
21,"{""$oid"": ""52cdef7c4bab8bd675297d8e""}",Facebook,social,5299.0,2004.0,Dublin,"{'type': 'Point', 'coordinates': [-6.267494, 53.344104]}",53.344104,-6.267494,2430000.0
21,"{""$oid"": ""52cdef7c4bab8bd675297d8e""}",Facebook,social,5299.0,2004.0,New York,"{'type': 'Point', 'coordinates': [-73.9792469, 40.7557162]}",40.7557162,-73.9792469,2430000.0
22,"{""$oid"": ""52cdef7c4bab8bd675297d94""}",Twitter,social,1300.0,2006.0,San Francisco,"{'type': 'Point', 'coordinates': [-122.4169244, 37.7768052]}",37.7768052,-122.4169244,1160000.0
